row-names,Water.content,Leaves.twigs,Herb.cover,Calamagrostis,Tree.cover,Illuminance
1,10.3,0,85,50,0,68
2,21.1,5,95,80,25,6
3,12.9,0,99,30,0,43
4,14.5,0,100,100,0,16
5,20.4,0,100,90,0,16
6,29.4,30,30,10,70,3
7,24,0,100,90,0,21
8,13.8,70,30,10,75,3
9,12,0,25,0,0,56
10,9,0,20,0,0,60
11,9.2,0,40,0,0,50
12,9.9,0,55,2,0,60
13,33.7,5,90,80,0,33
14,21.9,0,95,20,12,10
15,26.3,80,20,0,45,3
16,20.7,99,1,0,85,2
17,28,85,20,0,40,5
18,22.7,80,20,0,80,5
19,18.6,90,4,0,50,4
20,22.4,98,1,0,75,3
21,19.6,95,5,0,50,3
22,3.5,0,1,2,0,67
23,3.3,0,25,2,0,57
24,5.2,0,20,2,0,55
25,6.2,0,60,1,50,5
26,2.7,0,5,0,0,37
27,2.6,0,30,0,0,56
28,2.6,0,30,0,0,54
