row-names,Ecol,Econ,Com
A1,5,4.34,4.05
A2,4.88,4.38,3.52
A3,4.88,2.86,3.4
A4,4.88,4.01,3.6
B1,4.75,3.53,3.93
A5,4.75,3.83,3.98
A6,4.75,3.88,3.98
A7,4.63,3.33,3.48
A8,4.38,3.79,4.45
A9,4.38,3.61,4.31
A19,3.5,4.1,3.52
B13,3.38,2.69,3.58
B14,3.38,4.26,4.67
A20,3.25,3.69,4.29
B15,3.13,2.75,3.33
B16,3.13,3.24,3.6
B17,3.13,4.17,4.31
B18,3.06,3.22,4.32
B19,3,2.17,2.4
B20,3,2.75,3.33
B32,2.5,3.39,3.76
B33,2.5,2.5,3.88
A21,2.5,3.42,3.55
B34,2.38,3.25,4.29
B35,2.38,2.39,3.36
B36,2.38,3.39,3.74
B37,2.38,2.81,2.71
B38,2.38,2.49,3.45
B39,2.25,2.81,4.2
B40,2.13,3.01,3.45
